regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Norte,RO,,11,,,,2021-01-01,53,1777225.0,95999.0,270,1822,5,,,
Norte,RO,,11,,,,2021-01-02,53,1777225.0,96433.0,434,1825,3,,,
Norte,RO,,11,,,,2021-01-03,1,1777225.0,96906.0,473,1832,7,,,
Norte,RO,,11,,,,2021-01-04,1,1777225.0,97197.0,291,1840,8,,,
Norte,RO,,11,,,,2021-01-05,1,1777225.0,97854.0,657,1852,12,,,
Norte,RO,,11,,,,2021-01-06,1,1777225.0,98811.0,957,1875,23,,,
Norte,RO,,11,,,,2021-01-07,1,1777225.0,99595.0,784,1890,15,,,
Norte,RO,,11,,,,2021-01-08,1,1777225.0,100343.0,748,1899,9,,,
Norte,RO,,11,,,,2021-01-09,1,1777225.0,101024.0,681,1908,9,,,
Norte,RO,,11,,,,2021-01-10,2,1777225.0,101588.0,564,1911,3,,,
Norte,RO,,11,,,,2021-01-11,2,1777225.0,102518.0,930,1926,15,,,
Norte,RO,,11,,,,2021-01-12,2,1777225.0,103798.0,1280,1950,24,,,
Norte,RO,,11,,,,2021-01-13,2,1777225.0,104737.0,939,1965,15,,,
Norte,RO,,11,,,,2021-01-14,2,1777225.0,105952.0,1215,1976,11,,,
Norte,RO,,11,,,,2021-01-15,2,1777225.0,107332.0,1380,1993,17,,,
Norte,RO,,11,,,,2021-01-16,2,1777225.0,108173.0,841,1999,6,,,
Norte,RO,,11,,,,2021-01-17,3,1777225.0,109056.0,883,2005,6,,,
Norte,RO,,11,,,,2021-01-18,3,1777225.0,110331.0,1275,2031,26,,,
Norte,RO,,11,,,,2021-01-19,3,1777225.0,111372.0,1041,2044,13,,,
Norte,RO,,11,,,,2021-01-20,3,1777225.0,112468.0,1096,2056,12,,,
Norte,RO,,11,,,,2021-01-21,3,1777225.0,113778.0,1310,2070,14,,,
Norte,RO,,11,,,,2021-01-22,3,1777225.0,115200.0,1422,2085,15,,,
Norte,RO,,11,,,,2021-01-23,3,1777225.0,116133.0,933,2097,12,,,
Norte,RO,,11,,,,2021-01-24,4,1777225.0,117101.0,968,2111,14,,,
Norte,RO,,11,,,,2021-01-25,4,1777225.0,118097.0,996,2128,17,,,
Norte,RO,,11,,,,2021-01-26,4,1777225.0,119336.0,1239,2149,21,,,
Norte,RO,,11,,,,2021-01-27,4,1777225.0,121005.0,1669,2167,18,,,
Norte,RO,,11,,,,2021-01-28,4,1777225.0,121975.0,970,2192,25,,,
Norte,RO,,11,,,,2021-01-29,4,1777225.0,123200.0,1225,2216,24,,,
Norte,RO,,11,,,,2021-01-30,4,1777225.0,123957.0,757,2229,13,,,
Norte,RO,,11,,,,2021-01-31,5,1777225.0,124663.0,706,2244,15,,,
Norte,RO,,11,,,,2021-02-01,5,1777225.0,125612.0,949,2259,15,,,
Norte,RO,,11,,,,2021-02-02,5,1777225.0,126766.0,1154,2281,22,,,
Norte,RO,,11,,,,2021-02-03,5,1777225.0,127713.0,947,2293,12,,,
Norte,RO,,11,,,,2021-02-04,5,1777225.0,128743.0,1030,2314,21,,,
Norte,RO,,11,,,,2021-02-05,5,1777225.0,129902.0,1159,2326,12,,,
Norte,RO,,11,,,,2021-02-06,5,1777225.0,130753.0,851,2341,15,,,
Norte,RO,,11,,,,2021-02-07,6,1777225.0,131172.0,419,2346,5,,,
Norte,RO,,11,,,,2021-02-08,6,1777225.0,132167.0,995,2369,23,,,
Norte,RO,,11,,,,2021-02-09,6,1777225.0,133113.0,946,2391,22,,,
Norte,RO,,11,,,,2021-02-10,6,1777225.0,133983.0,870,2433,42,,,
Norte,RO,,11,,,,2021-02-11,6,1777225.0,134697.0,714,2455,22,,,
